food_name,emoji,calorie,carb,sugar,Protein (g),fat,Saturated Fat (g),Monounsaturated Fat (g)       ,Polyunsaturated Fat (g),Total Fiber (g),Cholesterol (mg),Vitamin B6 (mg),Vitamin A (IU),Vitamin B12 (ug),Vitamin C (mg),Vitamin D (IU),Vitamin E (IU),Vitamin K (ug),Thiamin (mg),Riboflavin (mg),Niacin (mg),Folate (ug),Pantothenic Acid (mg),Choline (mg),Calcium (g),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (g),Potassium (g),Selenium (ug),Sodium (g),Zinc (mg)
cheese,🧀,3.93,0.0144,0,0.2696,0.3099,0.18227,0.08046,0.01341,0,0.93,0.00071,10.47,0.0306,0,0,0.006,0.014,0.00011,0.00302,0.00064,0.1,0.00353,0.155,8.9,0.00047,0.0013,0.33,0.00026,5.74,0.72,0.3,1.87,0.0437
beef,🍖,2.17,0,0,0.2748,0.1105,0.046,0.05159,0.00583,0,0.81,0.00758,0.05,0.0189,0,0.03,0.0014,0.015,0.00057,0.0027,0.06292,0.07,0.00307,0.661,0.19,0.00079,0.0357,0.2,0.00004,2.1,2.8,0.304,0.68,0.0469
chicken,🍗,1.84,0,0,0.2403,0.0899,0.02446,0.03564,0.01855,0,1.27,0.00413,0.68,0.0038,0,0.04,0.0019,0.039,0.0009,0.00187,0.06034,0.05,0.01191,0.7,0.12,0.00061,0.0109,0.23,0.0002,2.02,2.64,0.257,0.98,0.0207
bacon,🥓,8.98,0,0,0.0007,0.995,0.31991,0.41435,0.10535,0,0.97,0.00005,0.37,0.0009,0,0,0,0,0.00004,0.00015,0.00725,0,0.00007,0.065,0.01,0.00022,0.0013,0,0.00006,0.09,0.15,0.057,0.27,0.0006
hamburger,🍔,2.54,0.2481,0,0.1174,0.1225,0.03755,0.04809,0.02343,0,0.24,0.0011,0.75,0.008,0.015,0,0,0,0.0021,0.0018,0.0335,0.47,0.0027,0,0.57,0.00093,0.0239,0.2,0.0023,1.13,2.06,0.187,4.58,0.0187
french fries,🍟,3.12,0.4144,0.003,0.0343,0.1473,0.02336,0.05969,0.05398,0.038,0,0.00372,0,0,0.047,0,0.0167,0.112,0.0017,0.00039,0.03004,0.3,0.0058,0.368,0.18,0.00124,0.0081,0.35,0.00247,1.25,5.79,0.009,2.1,0.005
pizza,🍕,2.66,0.3333,0.0358,0.1139,0.0969,0.04465,0.02608,0.01681,0.023,0.17,0.0008,3.58,0.0042,0.014,0,0.0083,0.067,0.0039,0.00195,0.03825,0.93,0,0.164,1.88,0.00105,0.0248,0.24,0.0036,2.16,1.72,0.199,5.98,0.0134
hotdog,🌭,2.47,0.184,0,0.106,0.1484,0.05213,0.06993,0.01741,0,0.45,0.0005,0,0.0052,0.001,0,0,0,0.0024,0.0028,0.0372,0.49,0.0052,0,0.24,0.00078,0.0236,0.13,0.00093,0.99,1.46,0.265,6.84,0.0202
taco,🌮,2.26,0.1985,0.009,0.0886,0.127,0.04384,0.04411,0.03042,0.039,0.28,0.0009,1.31,0.0093,0.004,0.04,0.006,0.153,0.0005,0.0006,0.0165,0.19,0,0.32,0.89,0.00077,0.0119,0.32,0.00249,1.78,2.09,0.092,3.97,0.0175
burrito,🌯,1.8,0.2337,0.021,0.0703,0.068,0.02733,0.01803,0.01575,0.037,0.12,0.00097,2.77,0.0027,0.013,0.03,0.0028,0.061,0.00213,0.00223,0.0209,0.45,0.00345,0.279,0.9,0.00106,0.0182,0.23,0.00298,1.31,2.04,0.107,4.51,0.0088
popcorn,🍿,5,0.572,0,0.09,0.281,0.0489,0.0817,0.1342,0.1,0,0.00209,0.11,0,0.003,0,0,0,0.00134,0.00136,0.0155,0.17,0.00305,0,0.1,0.00221,0.0278,1.08,0.00879,2.5,2.25,0.073,8.84,0.0264
rice crackers,🍘,4.16,0.8264,0,0.1,0.05,0,0.03021,0.01641,0,0,0.00554,0,0,0,0,0.0126,0.021,0.00436,0.00101,0.05537,0.22,0.01624,0.334,0,0.00301,0,1.56,0.04071,3.62,2.43,0.255,2.33,0.022
