,food_name,glycemic_index(GI),sugar
93,"QuikTM, strawberry (Nestlé, Australia), prepared",64,5
94,"QuikTM, strawberry (Nestlé, Australia), prepared",35,4
95,Traditional French baguette (prepared with wheat,57,10
96,"Whole Grain Baguette, President's Choice® Blue",73,9
97,French baguette with chocolate spread (France),72,27
98,French baguette with butter and strawberry jam,62,26
99,"Pain au lait (Pasquier, France)",63,20
100,"Sunflower and barley bread (Riga bakeries,",57,6
101,"Sunflower and barley bread (Vogel's, UK)",70,8
102,"Barley flour bread, made from 50% wheat flour and",74,12
103,"Barley flour bread, made from 80% wheat flour and",70,11
104,"Whole grain barley flour bread, made from 50% barley",85,15
105,Buckwheat bread (China),67,13
106,"Corn tortilla, made from white corn, Diego's brand",49,11
107,"Bürgen® Fruit loaf (Tip Top Bakeries,",44,6
108,Bürgen® Fruit and Muesli brea,53,7
109,"Continental fruit loaf, wheat bread",47,7
110,"Fruit and cinnamon bread (Finest, UK)",71,11
111,"Fruit and Spice Loaf, thick sliced",54,8
112,"Fruit loaf, sliced (UK",57,9
113,"HappinessTM (cinnamon, raisin, pecan bread)",63,9
114,"Muesli bread, made from packet mix i",54,7
115,Whole-wheat bread with dried fruit (China,47,7
116,"Gluten-free multigrain bread (Country Life Bakery,",79,10
117,"Gluten-free white bread (Country Life Bakery, Autralia",40,3
118,"Gluten-free buckwheat bread, made with buckwhea",72,8
119,"100% Whole wheat Gigantico Burger Buns,",62,7
120,"100% Whole wheat Gigantico Hot Dog Rolls,",62,7
121,Oatmeal batch bread (UK,62,9
122,"Rice bread, low-amylose Calrose rice",72,8
123,"Rye bread, 69% whole-grain rye flour",78,11
124,"Blackbread, Riga (Berzin's Specialty Bakery,",76,10
125,"BürgenTM Dark/Swiss rye (Tip Top Bakeries, Australia)",55,6
126,"BürgenTM Rye (Tip Top Bakeries, Australia",51,5
127,Country Grain Organic Rye,53,5
128,"Roggenbrot, Vogel's (Stevns & Co, Sydney,",59,8
129,Rye Hi-Soy with Linseed,55,5
130,"Schinkenbrot, Riga (Berzin's Specialty Bakery,",86,12
131,"Spelt multigrain bread® (Pav's bakery, Australia)",54,7
132,White flour (UK),59,8
133,White flour (Canada),69,10
134,"White flour (Sainsbury's, UK)",70,10
135,White flour bread,71,10
136,"White flour (Pepperidge Farm, Norwalk, CT, USA)",71,11
137,White flour (South Africa,71,9
138,"White flour (Hovis, UK)",73,11
139,"White flour (Vodova veka Penam, Olomouc,",75,13
140,"White flour (Hovis, UK)",75,11
141,White flour (China),88,12
142,White flour (Italy),89,18
143,"White bread, toasted (Hovis, UK",50,7
144,"WonderTM, enriched white bread",71,10
145,"WonderTM, enriched white bread",72,10
146,"WonderTM, enriched white bread",77,11
147,White bread with added wheatgerm and fiber (UK),59,6
148,"White bread with 3 g Sunfibre, viscosity 1",63,10
149,"White bread with 5 g Sunfibre, viscosity 1",64,10
150,"White bread with 10 g Sunfibre, viscosity 1",68,11
